"date","year","month","day","service","pre_percentage","timepoint","traffic","day_number"
2020-03-28,2020,3,28,"LIRR",5,"pre_est",105580,55
2020-03-28,2020,3,28,"MetroNorth",14,"current",19088,54
2020-03-28,2020,3,28,"MetroNorth",14,"pre_est",136342.857142857,55
2020-03-28,2020,3,28,"AccessARide",27,"current",4491,54
2020-03-28,2020,3,28,"AccessARide",27,"pre_est",16633.3333333333,55
2020-03-28,2020,3,28,"BridgesAndTunnels",28,"current",240702,54
2020-03-28,2020,3,28,"BridgesAndTunnels",28,"pre_est",859650,55
2020-03-28,2020,3,28,"SIRailway",12,"current",600,54
2020-03-28,2020,3,28,"SIRailway",12,"pre_est",5000,55
2020-03-29,2020,3,29,"Subway",12,"current",263700,56
2020-03-29,2020,3,29,"Subway",12,"pre_est",2197500,57
2020-03-29,2020,3,29,"Bus",1,"current",14307,56
2020-03-29,2020,3,29,"Bus",1,"pre_est",1430700,57
2020-03-29,2020,3,29,"LIRR",5,"current",4358,56
2020-03-29,2020,3,29,"LIRR",5,"pre_est",87160,57
2020-03-29,2020,3,29,"MetroNorth",19,"current",18152,56
2020-03-29,2020,3,29,"MetroNorth",19,"pre_est",95536.8421052632,57
